N-030E-030 4401251.530614 385234.157603 1.0000  6179000 626000 11.0000 1.0000
N-020E-020 4410870.677752 395053.144641 2.0000  6189000 636000 12.0000 1.0000
N-020E+020 4410435.860319 433933.803034 3.0000  6189000 676000 13.0000 1.0000
N-015E-015 4415680.047375 399965.233324 4.0000  6194000 641000 14.0000 1.0000
N-015E+015 4415353.577891 429130.894381 5.0000  6194000 671000 15.0000 1.0000
N-005E-005 4425298.398598 409794.581471 6.0000  6204000 651000 16.0000 1.0000
N-005E+005 4425189.337943 419519.905407 7.0000  6204000 661000 17.0000 1.0000
N+000E+000 4430107.388185 414711.833121 8.0000  6209000 656000 18.0000 1.0000
N+005E-005 4435025.557099 409902.047661 9.0000  6214000 651000 19.0000 1.0000
N+005E+005 4434916.259102 419630.797946 10.0000 6214000 661000 20.0000 1.0000
N+015E-015 4444862.266609 400277.353296 11.0000 6224000 641000 21.0000 1.0000
N+015E+015 4444533.661039 429473.851498 12.0000 6224000 671000 22.0000 1.0000
N+020E-020 4449780.815068 395462.452433 13.0000 6229000 636000 23.0000 1.0000
N+020E+020 4449342.200149 434397.932415 14.0000 6229000 676000 24.0000 1.0000
N+030E+030 4458958.974978 444251.183014 15.0000 6239000 686000 25.0000 1.0000
N-030E+030 4400600.730781 443534.428587 16.0000
N-025E-025 4406061.173485 390142.784765 17.0000
N-025E+025 4405518.245899 438734.982441 18.0000
N-010E-010 4420489.286328 404879.046903 19.0000
N-010E+010 4420271.402474 424326.260500 20.0000
N+010E-010 4439943.848599 405090.553046 21.0000
N+010E+010 4439725.015373 424551.472040 22.0000
N+025E-025 4454699.497928 390645.854478 23.0000
N+025E+025 4454150.636770 439323.710888 24.0000
N+030E-030 4459618.319154 385827.563453 25.0000
